epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0937,1.4137,4.85416,1.22313,0,0,0,0,1.16364,4.40973,1.01367,5e-06,5e-06,5e-06
2,1.49337,1.4185,4.99035,1.23028,0,0,0,0,1.16129,4.39996,1.0082,1.48515e-05,1.48515e-05,1.48515e-05
3,1.90881,1.50427,4.94282,1.25637,0,0,0,0,1.1208,4.39331,0.99439,2.4505e-05,2.4505e-05,2.4505e-05
4,2.32658,1.30939,4.62789,1.20121,0,0,0,0,1.00176,4.34979,0.9493,3.39605e-05,3.39605e-05,3.39605e-05
5,2.73297,1.10717,4.73409,1.07758,0,0,0,0,0.90249,4.32034,0.91217,4.3218e-05,4.3218e-05,4.3218e-05
6,3.16697,1.04518,4.67237,1.02765,0,0,0,0,0.92578,4.29372,0.90924,5.22775e-05,5.22775e-05,5.22775e-05
7,3.56397,0.8775,4.4211,0.96124,0,0,0,0,1.00432,4.28379,0.91205,6.1139e-05,6.1139e-05,6.1139e-05
8,4.00398,0.84826,4.29414,0.95519,0,0,0,0,0.96521,4.275,0.88306,6.98025e-05,6.98025e-05,6.98025e-05
9,4.57998,0.82405,4.1322,0.94831,0,0,0,0,0.8815,4.26751,0.86355,7.8268e-05,7.8268e-05,7.8268e-05
10,4.99674,0.88789,4.2274,0.9258,0,0,0,0,0.78083,4.25705,0.839,8.65355e-05,8.65355e-05,8.65355e-05
11,5.45975,0.85488,3.98377,0.92169,0,0,0,0,0.71339,4.23647,0.82732,9.4605e-05,9.4605e-05,9.4605e-05
12,5.86274,0.95556,4.11074,0.93051,0,0,0,0,0.69456,4.19835,0.83003,0.000102476,0.000102476,0.000102476
13,6.33869,0.8185,3.92326,0.90541,0,0,0,0,0.70811,4.1452,0.83379,0.00011015,0.00011015,0.00011015
14,6.72246,0.9527,3.87563,1.00559,0,0,0,0,0.71885,4.08351,0.84515,0.000117625,0.000117625,0.000117625
15,7.15923,0.80983,3.58274,0.90357,0.02839,0.09524,0.07496,0.06293,0.70412,4.01834,0.85855,0.000124903,0.000124903,0.000124903
16,7.63624,0.88133,3.49987,0.96075,0.08058,0.30357,0.21642,0.17463,0.68459,3.98469,0.85332,0.000131983,0.000131983,0.000131983
17,8.18362,0.87803,3.2935,0.93072,0.05362,0.42857,0.23558,0.18621,0.69461,3.92525,0.85329,0.000138864,0.000138864,0.000138864
18,8.62828,0.89591,3.13733,0.9188,0.04662,0.49206,0.23766,0.18234,0.72366,3.83968,0.86185,0.000145548,0.000145548,0.000145548
19,9.02628,0.85885,2.84781,0.90683,0.03655,0.57143,0.23801,0.18174,0.74119,3.71019,0.86558,0.000152033,0.000152033,0.000152033
20,9.47495,0.89331,3.0221,0.97955,0.0324,0.57143,0.24788,0.18747,0.76883,3.58323,0.86772,0.000158321,0.000158321,0.000158321
21,9.89387,0.93134,2.73728,0.93984,0.03077,0.57143,0.25583,0.19488,0.76494,3.48018,0.86962,0.00016441,0.00016441,0.00016441
22,10.3589,0.92806,2.77382,0.89056,0.02915,0.57143,0.23776,0.18492,0.76996,3.39271,0.87424,0.000170302,0.000170302,0.000170302
23,10.8019,0.7828,2.53092,0.93967,0.02803,0.57143,0.22746,0.17813,0.74763,3.31352,0.86586,0.000175995,0.000175995,0.000175995
24,11.2209,0.89571,2.7537,0.91936,0.02785,0.57143,0.21661,0.16978,0.73045,3.25973,0.86037,0.000181491,0.000181491,0.000181491
25,11.6509,0.90902,2.67456,0.93508,0.02761,0.57143,0.22352,0.1784,0.72998,3.20907,0.86278,0.000186788,0.000186788,0.000186788
26,12.0589,0.73088,2.3639,0.8741,0.02736,0.57143,0.23317,0.19102,0.74137,3.17566,0.87406,0.000191887,0.000191887,0.000191887
27,12.4859,0.81112,2.36104,0.91055,0.02601,0.57143,0.23367,0.19208,0.73548,3.09796,0.86766,0.000196789,0.000196789,0.000196789
28,12.8949,0.83763,2.52282,0.945,0.02601,0.57143,0.23367,0.19208,0.73548,3.09796,0.86766,0.000201493,0.000201493,0.000201493
29,13.3439,0.79757,2.2296,0.90401,0.02669,0.57143,0.26204,0.21804,0.71218,3.10117,0.87142,0.000205998,0.000205998,0.000205998
30,13.8119,0.82751,2.29475,0.90546,0.02692,0.57143,0.28661,0.24352,0.71005,3.16197,0.88365,0.000210306,0.000210306,0.000210306
31,14.2669,0.83649,2.37716,0.8965,0.02692,0.57143,0.28661,0.24352,0.71005,3.16197,0.88365,0.000214415,0.000214415,0.000214415
32,14.777,0.78882,2.39469,0.91419,0.02519,0.57143,0.28724,0.24517,0.70064,3.18915,0.88596,0.000218327,0.000218327,0.000218327
33,15.211,0.71629,1.92692,0.89142,0.0263,0.57143,0.28721,0.241,0.71171,3.18237,0.88782,0.00022204,0.00022204,0.00022204
34,15.6931,0.77857,2.11138,0.89656,0.0263,0.57143,0.28721,0.241,0.71171,3.18237,0.88782,0.000225555,0.000225555,0.000225555
35,16.105,0.77466,2.07364,0.87116,0.02702,0.58571,0.33013,0.26838,0.73017,3.149,0.88996,0.000228873,0.000228873,0.000228873
36,16.5523,0.83019,2.06659,0.9252,0.02963,0.61429,0.37022,0.3027,0.7523,3.03315,0.89216,0.000231992,0.000231992,0.000231992
37,16.9463,0.74466,1.74744,0.86239,0.02963,0.61429,0.37022,0.3027,0.7523,3.03315,0.89216,0.000234914,0.000234914,0.000234914
38,17.386,0.73708,1.76358,0.88438,0.02873,0.62857,0.38503,0.31521,0.75611,2.89992,0.89406,0.000237638,0.000237638,0.000237638
39,17.8295,0.73796,1.88199,0.90167,0.031,0.66667,0.4315,0.36119,0.7398,2.76382,0.89466,0.000240163,0.000240163,0.000240163
40,18.2988,0.66867,1.60835,0.83093,0.031,0.66667,0.4315,0.36119,0.7398,2.76382,0.89466,0.00024249,0.00024249,0.00024249
41,18.7103,0.66842,1.50655,0.85742,0.82515,0.39098,0.46662,0.38954,0.71967,2.62412,0.89309,0.00024462,0.00024462,0.00024462
42,19.16,0.72903,1.62957,0.85834,0.95362,0.21353,0.47364,0.39546,0.70734,2.50277,0.89667,0.000246552,0.000246552,0.000246552
43,19.555,0.70171,1.5997,0.88845,0.95362,0.21353,0.47364,0.39546,0.70734,2.50277,0.89667,0.000248285,0.000248285,0.000248285
44,19.9809,0.77575,1.62963,0.89074,0.94986,0.15297,0.47578,0.4031,0.68289,2.37937,0.90082,0.00024982,0.00024982,0.00024982
45,20.3831,0.7025,1.46543,0.91539,0.94986,0.15297,0.47578,0.4031,0.68289,2.37937,0.90082,0.000251158,0.000251158,0.000251158
46,20.8196,0.7037,1.56285,0.88999,0.96314,0.15213,0.51931,0.44587,0.66131,2.33404,0.90261,0.000252297,0.000252297,0.000252297
47,21.204,0.73172,1.46113,0.89511,0.96314,0.15213,0.51931,0.44587,0.66131,2.33404,0.90261,0.000253239,0.000253239,0.000253239
48,21.7356,0.74607,1.49022,0.92255,0.96466,0.15951,0.54843,0.45906,0.65676,2.37513,0.90111,0.000253983,0.000253983,0.000253983
49,22.1964,0.67432,1.46372,0.82881,0.96466,0.15951,0.54843,0.45906,0.65676,2.37513,0.90111,0.000254528,0.000254528,0.000254528
50,22.6691,0.63288,1.34817,0.86574,0.97082,0.18723,0.56863,0.46475,0.65768,2.37481,0.89756,0.000254876,0.000254876,0.000254876
51,23.0946,0.6724,1.16398,0.86636,0.97082,0.18723,0.56863,0.46475,0.65768,2.37481,0.89756,0.0002525,0.0002525,0.0002525
52,23.5774,0.75338,1.33719,0.88283,0.97921,0.26707,0.58478,0.48,0.63704,2.26549,0.88607,0.00024755,0.00024755,0.00024755
53,23.9797,0.64852,1.34541,0.85551,0.97921,0.26707,0.58478,0.48,0.63704,2.26549,0.88607,0.0002426,0.0002426,0.0002426
54,24.4197,0.62399,1.19335,0.87523,0.974,0.36621,0.60369,0.51053,0.6173,2.09428,0.87563,0.00023765,0.00023765,0.00023765
55,24.9126,0.71569,1.352,0.89388,0.974,0.36621,0.60369,0.51053,0.6173,2.09428,0.87563,0.0002327,0.0002327,0.0002327
56,25.3558,0.71511,1.37262,0.87558,0.93544,0.46583,0.61157,0.51693,0.63038,1.8533,0.86765,0.00022775,0.00022775,0.00022775
57,25.7791,0.68764,1.25382,0.88488,0.93544,0.46583,0.61157,0.51693,0.63038,1.8533,0.86765,0.0002228,0.0002228,0.0002228
58,26.2053,0.64356,1.13263,0.84768,0.91533,0.53796,0.64503,0.53368,0.63008,1.64388,0.85962,0.00021785,0.00021785,0.00021785
59,26.6306,0.59178,1.1062,0.81922,0.91533,0.53796,0.64503,0.53368,0.63008,1.64388,0.85962,0.0002129,0.0002129,0.0002129
