epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2769,1.08809,6.84989,0.90571,0,0,0,0,0.75272,5.52511,0.82349,2.65714e-05,2.65714e-05,2.65714e-05
2,22.9548,0.99663,5.85644,0.85186,0.04387,0.3695,0.06325,0.05166,0.76749,3.45467,0.81274,5.27427e-05,5.27427e-05,5.27427e-05
3,34.5709,0.9359,4.15026,0.84151,0.26975,0.26482,0.08686,0.07189,0.71465,2.13478,0.81619,7.80788e-05,7.80788e-05,7.80788e-05
4,46.1282,0.8622,3.19942,0.82971,0.52662,0.23894,0.13465,0.11246,0.67252,1.57364,0.8104,7.72411e-05,7.72411e-05,7.72411e-05
5,57.7311,0.85784,2.74662,0.82693,0.49046,0.27545,0.16585,0.13814,0.65123,1.42545,0.8074,7.59881e-05,7.59881e-05,7.59881e-05
6,69.2814,0.81922,2.64204,0.83651,0.56063,0.23925,0.18093,0.15213,0.6314,1.36735,0.8043,7.47352e-05,7.47352e-05,7.47352e-05
7,80.8154,0.78432,2.43172,0.8221,0.67887,0.24233,0.22037,0.18756,0.61408,1.32092,0.80331,7.34822e-05,7.34822e-05,7.34822e-05
8,92.1542,0.76325,2.38051,0.82473,0.57504,0.30716,0.25702,0.21928,0.59885,1.25196,0.80088,7.22292e-05,7.22292e-05,7.22292e-05
9,103.68,0.75275,2.24389,0.81938,0.66666,0.28647,0.26844,0.23119,0.58566,1.20008,0.79908,7.09762e-05,7.09762e-05,7.09762e-05
10,115.083,0.76871,2.18256,0.82744,0.67887,0.29665,0.29822,0.25731,0.56916,1.13512,0.79899,6.97233e-05,6.97233e-05,6.97233e-05
11,126.566,0.71612,2.04039,0.81655,0.77448,0.31725,0.32642,0.28281,0.56475,1.0511,0.79857,6.84703e-05,6.84703e-05,6.84703e-05
12,138.124,0.72833,1.984,0.82364,0.69497,0.30836,0.34684,0.30024,0.55476,0.99318,0.79834,6.72173e-05,6.72173e-05,6.72173e-05
13,149.607,0.73315,1.93992,0.8185,0.7472,0.33129,0.36983,0.32133,0.55132,0.94689,0.79719,6.59644e-05,6.59644e-05,6.59644e-05
14,160.945,0.70459,1.85913,0.81516,0.6502,0.34969,0.38159,0.33411,0.53883,0.95116,0.79625,6.47114e-05,6.47114e-05,6.47114e-05
15,172.411,0.69582,1.79255,0.81614,0.66077,0.40688,0.42789,0.37501,0.53839,0.87686,0.7972,6.34584e-05,6.34584e-05,6.34584e-05
16,183.752,0.69591,1.76272,0.81474,0.79134,0.36038,0.44776,0.39366,0.53256,0.85551,0.79614,6.22055e-05,6.22055e-05,6.22055e-05
17,195.128,0.70647,1.75574,0.81753,0.67122,0.43604,0.46007,0.40419,0.52709,0.82822,0.79561,6.09525e-05,6.09525e-05,6.09525e-05
18,206.627,0.68123,1.66366,0.82084,0.68127,0.44111,0.45338,0.3978,0.52619,0.83372,0.79524,5.96995e-05,5.96995e-05,5.96995e-05
19,218.062,0.68543,1.59038,0.81207,0.83304,0.39439,0.50797,0.44451,0.52641,0.77146,0.79398,5.84466e-05,5.84466e-05,5.84466e-05
20,229.428,0.65119,1.59694,0.81395,0.58255,0.49114,0.53864,0.47277,0.51987,0.75788,0.79386,5.71936e-05,5.71936e-05,5.71936e-05
21,240.916,0.67387,1.5484,0.81442,0.72552,0.48108,0.55373,0.48897,0.51374,0.73102,0.79302,5.59406e-05,5.59406e-05,5.59406e-05
22,252.331,0.64343,1.49557,0.80569,0.61569,0.57111,0.57013,0.50256,0.51893,0.71837,0.79276,5.46877e-05,5.46877e-05,5.46877e-05
23,263.874,0.65225,1.51238,0.80794,0.63131,0.55022,0.58363,0.51461,0.51923,0.69152,0.79213,5.34347e-05,5.34347e-05,5.34347e-05
24,275.319,0.64993,1.46046,0.8117,0.72981,0.55597,0.61424,0.54479,0.49994,0.66562,0.79035,5.21817e-05,5.21817e-05,5.21817e-05
25,287.673,0.64506,1.42834,0.80526,0.78656,0.56016,0.62114,0.55443,0.49476,0.65121,0.79013,5.09288e-05,5.09288e-05,5.09288e-05
26,299.629,0.65503,1.43989,0.80874,0.73121,0.56763,0.62078,0.55338,0.49498,0.64162,0.78986,4.96758e-05,4.96758e-05,4.96758e-05
27,311.426,0.61941,1.37444,0.80826,0.67964,0.51144,0.61224,0.54503,0.49466,0.65887,0.78976,4.84228e-05,4.84228e-05,4.84228e-05
28,323.366,0.64269,1.35536,0.80707,0.73182,0.59314,0.65677,0.58553,0.49485,0.60705,0.79029,4.71698e-05,4.71698e-05,4.71698e-05
29,335.336,0.63977,1.29806,0.81558,0.67244,0.6108,0.66217,0.58795,0.4951,0.60129,0.79019,4.59169e-05,4.59169e-05,4.59169e-05
30,347.343,0.63573,1.31441,0.81502,0.79452,0.61675,0.69495,0.618,0.48677,0.57693,0.7889,4.46639e-05,4.46639e-05,4.46639e-05
31,359.087,0.62774,1.29399,0.80128,0.74939,0.61263,0.68978,0.61393,0.48573,0.58503,0.78854,4.34109e-05,4.34109e-05,4.34109e-05
32,370.903,0.62099,1.23335,0.80862,0.74019,0.6921,0.71104,0.63087,0.48429,0.55645,0.78826,4.2158e-05,4.2158e-05,4.2158e-05
33,382.774,0.6117,1.24779,0.80821,0.77576,0.67743,0.72234,0.64544,0.48098,0.55532,0.78825,4.0905e-05,4.0905e-05,4.0905e-05
34,394.544,0.61878,1.16558,0.81068,0.84823,0.67044,0.74152,0.66261,0.47656,0.54421,0.78762,3.9652e-05,3.9652e-05,3.9652e-05
35,406.481,0.61167,1.18087,0.81341,0.7501,0.70703,0.74066,0.66496,0.47338,0.53124,0.7877,3.83991e-05,3.83991e-05,3.83991e-05
36,418.256,0.62672,1.18187,0.80801,0.82019,0.67506,0.75602,0.67823,0.47453,0.52638,0.78709,3.71461e-05,3.71461e-05,3.71461e-05
37,430.187,0.62292,1.17205,0.80721,0.80836,0.69129,0.75541,0.67668,0.47243,0.51975,0.78727,3.58931e-05,3.58931e-05,3.58931e-05
38,442.028,0.6189,1.13823,0.80878,0.84866,0.69161,0.77181,0.69001,0.47098,0.52216,0.78749,3.46402e-05,3.46402e-05,3.46402e-05
39,453.767,0.61275,1.12969,0.80221,0.82528,0.72693,0.77202,0.69371,0.47444,0.51366,0.78729,3.33872e-05,3.33872e-05,3.33872e-05
40,465.545,0.6086,1.13389,0.80377,0.8323,0.73854,0.77967,0.69758,0.46786,0.4992,0.78726,3.21342e-05,3.21342e-05,3.21342e-05
41,477.293,0.60385,1.11003,0.80444,0.84435,0.72101,0.77375,0.69275,0.46324,0.49575,0.78635,3.08813e-05,3.08813e-05,3.08813e-05
42,488.913,0.61195,1.10698,0.80343,0.7781,0.73958,0.78886,0.71036,0.46211,0.48762,0.78662,2.96283e-05,2.96283e-05,2.96283e-05
43,500.533,0.59513,1.09133,0.80426,0.80712,0.70914,0.7844,0.70571,0.46146,0.47913,0.7864,2.83753e-05,2.83753e-05,2.83753e-05
44,512.094,0.60623,1.05787,0.80587,0.79519,0.73556,0.78567,0.70675,0.46058,0.47869,0.7862,2.71223e-05,2.71223e-05,2.71223e-05
45,523.713,0.61103,1.04663,0.8061,0.9015,0.70104,0.79076,0.7101,0.46331,0.47244,0.78537,2.58694e-05,2.58694e-05,2.58694e-05
46,535.379,0.59595,1.08596,0.80328,0.8903,0.73596,0.79987,0.72186,0.4599,0.46689,0.78539,2.46164e-05,2.46164e-05,2.46164e-05
47,547.098,0.61285,1.05242,0.80757,0.89236,0.73375,0.80407,0.72171,0.46327,0.4674,0.78622,2.33634e-05,2.33634e-05,2.33634e-05
48,558.759,0.60796,1.09873,0.80121,0.91815,0.74287,0.80727,0.72761,0.45473,0.46378,0.78452,2.21105e-05,2.21105e-05,2.21105e-05
49,570.426,0.60205,1.05133,0.80555,0.93644,0.69174,0.80283,0.72279,0.45895,0.46658,0.7858,2.08575e-05,2.08575e-05,2.08575e-05
50,582.193,0.59938,1.03143,0.80011,0.93508,0.69269,0.80456,0.72527,0.45521,0.46391,0.78523,1.96045e-05,1.96045e-05,1.96045e-05
51,593.903,0.59412,1.04584,0.79871,0.93754,0.70112,0.81169,0.73191,0.45845,0.47128,0.78507,1.83516e-05,1.83516e-05,1.83516e-05
52,605.567,0.60078,1.01951,0.80721,0.91608,0.70692,0.81238,0.73477,0.45413,0.45298,0.78518,1.70986e-05,1.70986e-05,1.70986e-05
53,617.227,0.5805,1.00851,0.80093,0.93455,0.72675,0.8197,0.73876,0.45549,0.45712,0.78518,1.58456e-05,1.58456e-05,1.58456e-05
54,628.939,0.5847,1.00893,0.80344,0.91556,0.74627,0.81964,0.74457,0.4504,0.45397,0.78482,1.45927e-05,1.45927e-05,1.45927e-05
55,654.206,0.54708,1.28458,0.79953,0.83008,0.70911,0.79392,0.70519,0.49161,0.50354,0.78722,1.33397e-05,1.33397e-05,1.33397e-05
56,665.81,0.55653,1.26986,0.79616,0.82245,0.69286,0.78113,0.69341,0.49735,0.52066,0.78799,1.20867e-05,1.20867e-05,1.20867e-05
57,677.412,0.52759,1.20159,0.7933,0.81516,0.71813,0.78952,0.70531,0.48962,0.51524,0.78771,1.08338e-05,1.08338e-05,1.08338e-05
58,689.005,0.5274,1.18172,0.78999,0.81136,0.72011,0.79329,0.7094,0.48455,0.49541,0.78743,9.58078e-06,9.58078e-06,9.58078e-06
59,700.625,0.52502,1.20326,0.79348,0.79619,0.73164,0.81163,0.72568,0.48036,0.49199,0.78675,8.32781e-06,8.32781e-06,8.32781e-06
60,712.304,0.52563,1.17262,0.79292,0.8034,0.73476,0.81473,0.72929,0.48206,0.49396,0.78709,7.07484e-06,7.07484e-06,7.07484e-06
61,723.706,0.54461,1.19039,0.79477,0.81601,0.73773,0.81386,0.72698,0.47906,0.49463,0.78714,5.82188e-06,5.82188e-06,5.82188e-06
62,735.27,0.51742,1.14303,0.78572,0.81464,0.75802,0.81486,0.73067,0.47599,0.48148,0.78697,4.56891e-06,4.56891e-06,4.56891e-06
63,746.92,0.52986,1.16976,0.79184,0.81777,0.74692,0.8154,0.73001,0.47612,0.48325,0.7868,3.31594e-06,3.31594e-06,3.31594e-06
64,758.456,0.51725,1.17055,0.79388,0.82033,0.73876,0.81611,0.7324,0.47661,0.48433,0.78678,2.06297e-06,2.06297e-06,2.06297e-06
