epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12547,3.40306,6.05953,2.54965,0,0,0,0,2.89826,5.89733,2.32434,8.1e-07,8.1e-07,8.1e-07
2,3.08628,3.51291,6.04833,2.56353,0,0,0,0,2.89962,5.90379,2.33676,2.41396e-06,2.41396e-06,2.41396e-06
3,4.08002,3.46133,6.04645,2.64207,0,0,0,0,2.89632,5.90939,2.33586,3.99654e-06,3.99654e-06,3.99654e-06
4,5.10359,3.37814,6.05148,2.54097,0,0,0,0,2.86871,5.91017,2.30894,5.55773e-06,5.55773e-06,5.55773e-06
5,6.17788,3.53718,6.03371,2.54731,0,0,0,0,2.84182,5.91149,2.27877,7.09754e-06,7.09754e-06,7.09754e-06
6,7.24036,3.69956,6.04229,2.51631,0,0,0,0,2.82123,5.91802,2.26932,8.61597e-06,8.61597e-06,8.61597e-06
7,8.29636,3.42217,6.02927,2.39465,0,0,0,0,2.77309,5.91875,2.2241,1.0113e-05,1.0113e-05,1.0113e-05
8,9.35142,3.06988,6.02398,2.31981,0,0,0,0,2.71747,5.91862,2.16852,1.15887e-05,1.15887e-05,1.15887e-05
9,10.4575,3.12228,6.01557,2.24387,0,0,0,0,2.68782,5.91707,2.14123,1.30429e-05,1.30429e-05,1.30429e-05
10,11.5342,2.85993,6.01074,2.18759,0,0,0,0,2.65166,5.91935,2.11274,1.44758e-05,1.44758e-05,1.44758e-05
11,12.5639,2.94331,6.01535,2.13008,0,0,0,0,2.61658,5.91827,2.07939,1.58873e-05,1.58873e-05,1.58873e-05
12,13.5736,2.8943,6.00733,2.11275,0,0,0,0,2.5714,5.9176,2.04114,1.72775e-05,1.72775e-05,1.72775e-05
13,14.5962,2.72895,5.98927,1.9946,0,0,0,0,2.52007,5.91384,1.99708,1.86462e-05,1.86462e-05,1.86462e-05
14,15.6211,2.73557,5.9768,1.91889,0,0,0,0,2.46502,5.90964,1.95174,1.99936e-05,1.99936e-05,1.99936e-05
15,16.6691,2.68306,5.97567,1.90327,0,0,0,0,2.40384,5.91115,1.90435,2.13195e-05,2.13195e-05,2.13195e-05
16,17.6951,2.624,5.9512,1.81731,0,0,0,0,2.34264,5.90576,1.85744,2.26241e-05,2.26241e-05,2.26241e-05
17,18.7024,2.49173,5.9402,1.75749,0,0,0,0,2.27483,5.90468,1.81062,2.39073e-05,2.39073e-05,2.39073e-05
18,19.7187,2.35626,5.90298,1.8278,0,0,0,0,2.21649,5.89406,1.76257,2.51691e-05,2.51691e-05,2.51691e-05
19,20.746,2.29692,5.88888,1.67287,0,0,0,0,2.15481,5.87577,1.70839,2.64096e-05,2.64096e-05,2.64096e-05
20,21.7991,2.30775,5.86077,1.58845,0,0,0,0,2.08912,5.86213,1.6559,2.76286e-05,2.76286e-05,2.76286e-05
21,22.8224,2.20598,5.84413,1.5759,0,0,0,0,2.02024,5.85358,1.60342,2.88263e-05,2.88263e-05,2.88263e-05
22,23.858,2.26961,5.85029,1.51448,0,0,0,0,1.95407,5.83447,1.55313,3.00026e-05,3.00026e-05,3.00026e-05
23,24.8661,2.07448,5.77985,1.49076,0,0,0,0,1.89281,5.82033,1.50415,3.11575e-05,3.11575e-05,3.11575e-05
24,25.8804,2.03211,5.7186,1.41389,0,0,0,0,1.82845,5.7892,1.44761,3.2291e-05,3.2291e-05,3.2291e-05
25,26.91,1.901,5.74072,1.49896,0,0,0,0,1.76715,5.74506,1.39016,3.34031e-05,3.34031e-05,3.34031e-05
26,27.9321,1.89832,5.72067,1.34213,0,0,0,0,1.70548,5.70499,1.3344,3.44939e-05,3.44939e-05,3.44939e-05
27,28.9621,1.83781,5.6685,1.31794,0,0,0,0,1.62894,5.66126,1.27493,3.55632e-05,3.55632e-05,3.55632e-05
28,29.9647,1.83865,5.69094,1.30771,0,0,0,0,1.62894,5.66126,1.27493,3.66112e-05,3.66112e-05,3.66112e-05
29,30.9689,1.74784,5.60389,1.33949,0,0,0,0,1.55126,5.6127,1.21574,3.76378e-05,3.76378e-05,3.76378e-05
30,31.976,1.74676,5.63883,1.25858,0,0,0,0,1.48948,5.57362,1.16968,3.8643e-05,3.8643e-05,3.8643e-05
31,33.0057,1.67358,5.60249,1.19397,0,0,0,0,1.48948,5.57362,1.16968,3.96268e-05,3.96268e-05,3.96268e-05
32,34.0107,1.59391,5.54054,1.19512,0,0,0,0,1.44498,5.54233,1.13498,4.05893e-05,4.05893e-05,4.05893e-05
33,35.0028,1.66541,5.56423,1.1991,0,0,0,0,1.38974,5.50925,1.09718,4.15303e-05,4.15303e-05,4.15303e-05
34,35.9996,1.5669,5.5209,1.14084,0,0,0,0,1.38974,5.50925,1.09718,4.245e-05,4.245e-05,4.245e-05
35,36.9893,1.62317,5.55236,1.13644,0,0,0,0,1.34542,5.48441,1.0702,4.33483e-05,4.33483e-05,4.33483e-05
36,37.9991,1.49787,5.49294,1.12476,0,0,0,0,1.30988,5.45668,1.04493,4.42252e-05,4.42252e-05,4.42252e-05
37,38.9879,1.4874,5.48173,1.09052,0,0,0,0,1.30988,5.45668,1.04493,4.50807e-05,4.50807e-05,4.50807e-05
38,39.9823,1.41661,5.3962,1.08781,0,0,0,0,1.27189,5.42545,1.02265,4.59148e-05,4.59148e-05,4.59148e-05
39,41.0015,1.41711,5.40916,1.06678,0,0,0,0,1.23294,5.38895,0.9985,4.67276e-05,4.67276e-05,4.67276e-05
40,42.0184,1.35276,5.37456,1.06122,0,0,0,0,1.23294,5.38895,0.9985,4.7519e-05,4.7519e-05,4.7519e-05
41,43.0378,1.42208,5.40582,1.0364,0,0,0,0,1.19861,5.34818,0.97866,4.8289e-05,4.8289e-05,4.8289e-05
42,44.0622,1.3621,5.31557,1.04686,0,0,0,0,1.15507,5.30109,0.95741,4.90376e-05,4.90376e-05,4.90376e-05
