epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.712073,1.43879,5.87609,1.25102,0,0,0,0,1.16346,5.40894,1.01276,8.1e-07,8.1e-07,8.1e-07
2,1.13518,1.40641,5.97169,1.23537,0,0,0,0,1.17891,5.41278,1.01888,2.30971e-06,2.30971e-06,2.30971e-06
3,1.5837,1.5343,5.95963,1.2922,0,0,0,0,1.18066,5.40965,1.02115,3.64905e-06,3.64905e-06,3.64905e-06
4,2.05619,1.47416,5.74393,1.33008,0,0,0,0,1.1614,5.40569,1.01592,4.82801e-06,4.82801e-06,4.82801e-06
5,2.50751,1.38293,6.00195,1.25806,0,0,0,0,1.14427,5.40745,1.01248,5.84658e-06,5.84658e-06,5.84658e-06
6,2.96889,1.43819,6.00736,1.2523,0,0,0,0,1.10885,5.39727,1.00189,6.70477e-06,6.70477e-06,6.70477e-06
7,3.41323,1.28496,5.91752,1.21691,0,0,0,0,1.07034,5.38887,0.98778,7.40259e-06,7.40259e-06,7.40259e-06
8,3.85479,1.1992,5.85971,1.16773,0,0,0,0,1.03987,5.38329,0.97574,7.94003e-06,7.94003e-06,7.94003e-06
9,4.29639,1.14638,5.67179,1.16898,0,0,0,0,1.02783,5.37966,0.97044,8.31708e-06,8.31708e-06,8.31708e-06
10,4.71525,1.23521,5.81589,1.15799,0,0,0,0,1.00997,5.37263,0.96258,8.53375e-06,8.53375e-06,8.53375e-06
11,7.94975,1.26949,6.02839,1.12899,0,0,0,0,0.99293,5.36716,0.95509,8.59005e-06,8.59005e-06,8.59005e-06
12,8.43074,1.48285,6.47068,1.08144,0,0,0,0,0.9823,5.3586,0.94671,8.48597e-06,8.48597e-06,8.48597e-06
13,8.86405,1.30416,6.2087,1.15204,0,0,0,0,0.96988,5.35517,0.94029,8.2215e-06,8.2215e-06,8.2215e-06
14,9.27858,1.1666,6.03086,1.07514,0,0,0,0,0.96364,5.34843,0.93499,7.79665e-06,7.79665e-06,7.79665e-06
15,9.68057,1.37551,6.09007,1.08388,0,0,0,0,0.95141,5.3429,0.92832,7.21143e-06,7.21143e-06,7.21143e-06
16,10.0907,1.11957,5.83015,1.00233,0,0,0,0,0.9407,5.33727,0.92301,6.46583e-06,6.46583e-06,6.46583e-06
17,10.5059,1.11126,5.7908,1.01621,0,0,0,0,0.93487,5.33166,0.91853,5.55984e-06,5.55984e-06,5.55984e-06
18,10.9106,1.16605,5.92494,1.03738,0,0,0,0,0.92601,5.32962,0.91542,4.49348e-06,4.49348e-06,4.49348e-06
19,11.3251,1.1061,5.77753,1.03528,0,0,0,0,0.92257,5.33203,0.91484,3.26673e-06,3.26673e-06,3.26673e-06
20,11.7322,1.01466,5.69077,1.01462,0,0,0,0,0.92516,5.32972,0.91315,1.87961e-06,1.87961e-06,1.87961e-06
