epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4214,1.08809,6.84989,0.90571,0,0,0,0,0.75272,5.52511,0.82349,2.65714e-05,2.65714e-05,2.65714e-05
2,23.1264,0.99399,5.88446,0.8516,0.04445,0.3685,0.06296,0.05108,0.77215,3.52128,0.81395,5.09196e-05,5.09196e-05,5.09196e-05
3,34.7462,0.93567,4.23384,0.84123,0.2686,0.28292,0.08681,0.07219,0.70916,2.13613,0.81491,7.25949e-05,7.25949e-05,7.25949e-05
4,46.1852,0.868,3.26332,0.82971,0.52171,0.24202,0.13146,0.10961,0.67443,1.59656,0.81123,6.89715e-05,6.89715e-05,6.89715e-05
5,57.7506,0.86418,2.78406,0.82836,0.4894,0.25514,0.15913,0.13241,0.65883,1.42525,0.80726,6.4962e-05,6.4962e-05,6.4962e-05
6,69.4226,0.82874,2.70517,0.83691,0.49243,0.26884,0.16892,0.14213,0.64233,1.37892,0.80521,6.09525e-05,6.09525e-05,6.09525e-05
7,80.9785,0.79349,2.48575,0.82262,0.67314,0.22298,0.20654,0.17587,0.60953,1.3583,0.80246,5.6943e-05,5.6943e-05,5.6943e-05
8,92.4638,0.766,2.46209,0.82497,0.5285,0.30799,0.2417,0.20706,0.60349,1.28677,0.80229,5.29335e-05,5.29335e-05,5.29335e-05
9,104.016,0.75189,2.33127,0.81964,0.6013,0.2891,0.2508,0.21524,0.59564,1.23111,0.79985,4.8924e-05,4.8924e-05,4.8924e-05
10,115.433,0.77658,2.30101,0.82699,0.66155,0.25692,0.26287,0.22585,0.58274,1.19477,0.80044,4.49145e-05,4.49145e-05,4.49145e-05
11,139.22,0.71179,2.7706,0.81701,0.67515,0.27318,0.26277,0.22181,0.62066,1.22083,0.80377,4.0905e-05,4.0905e-05,4.0905e-05
12,150.694,0.66856,2.68212,0.81654,0.61559,0.31307,0.28052,0.235,0.61914,1.18292,0.80404,3.68955e-05,3.68955e-05,3.68955e-05
13,162.156,0.67288,2.59897,0.81195,0.68327,0.29541,0.29046,0.24509,0.60568,1.15282,0.80298,3.2886e-05,3.2886e-05,3.2886e-05
14,173.565,0.6647,2.5221,0.80519,0.70393,0.31757,0.31207,0.26621,0.59255,1.07804,0.80018,2.88765e-05,2.88765e-05,2.88765e-05
15,185.159,0.64645,2.44483,0.81032,0.54795,0.37417,0.32882,0.28073,0.58336,1.04767,0.79994,2.4867e-05,2.4867e-05,2.4867e-05
16,196.716,0.63784,2.42141,0.80591,0.46924,0.40801,0.33221,0.28389,0.58009,1.05281,0.79938,2.08575e-05,2.08575e-05,2.08575e-05
17,208.19,0.62645,2.36847,0.80464,0.53331,0.38519,0.3398,0.29098,0.58034,1.05852,0.79923,1.6848e-05,1.6848e-05,1.6848e-05
18,219.659,0.63278,2.34068,0.806,0.5242,0.40889,0.35476,0.30459,0.5738,0.9991,0.7987,1.28385e-05,1.28385e-05,1.28385e-05
19,231.14,0.62211,2.29496,0.80375,0.53082,0.41823,0.35815,0.30815,0.56826,1.00376,0.79798,8.829e-06,8.829e-06,8.829e-06
20,242.554,0.61442,2.30065,0.80871,0.58311,0.38699,0.35909,0.3091,0.56713,1.00362,0.79789,4.8195e-06,4.8195e-06,4.8195e-06
